name,source_url,image_url,gender,hair_color,hair_style,eye_style,face_shape,expression,skin_tone,beard,body_type,age_vibe,cute_level,cool_level,dark_level,funny_level,power_level,match_tags,match_note,species,hair_length,eye_size,hero_level,evil_level,energy_level,confidence_level
Monjii,https://onepiece.fandom.com/wiki/Monjii,https://static.wikia.nocookie.net/onepiece/images/b/b4/Monjii_Anime_Infobox.png/revision/latest?cb=20160925125525,male,white,beard,round,oval,worried,light,long,thin,old,2,3,1,4,2,"old, worried, human, beard",이 캐릭터는 걱정스러운 표정을 하고 있습니다.,human,long,medium,1,0,3,2
Doma,https://onepiece.fandom.com/wiki/Doma,https://static.wikia.nocookie.net/onepiece/images/f/fa/Doma_Anime_Infobox.png/revision/latest?cb=20221202185948,male,black,short,round,square,serious,light,goatee,muscular,adult,2,8,5,3,9,"muscular, serious, villain, anime",강력한 악당의 느낌입니다.,human,short,medium,4,6,7,9
Mink Tribe,https://onepiece.fandom.com/wiki/Mink_Tribe,https://static.wikia.nocookie.net/onepiece/images/c/c4/Mink_Tribe_Infobox.png/revision/latest?cb=20160911170007,male,brown,spiky,round,oval,happy,light,none,average,young,7,5,2,6,4,"anime, character, fun",귀엽고 활기찬 느낌입니다.,human,short,medium,5,1,8,6
One Piece Strong Words 2,https://onepiece.fandom.com/wiki/One_Piece_Strong_Words_2,https://static.wikia.nocookie.net/onepiece/images/3/35/One_Piece_Strong_Words_2.png/revision/latest?cb=20210225203214,male,black,messy,round,oval,smiling,light,none,slim,young,8,6,2,7,7,"anime, pirate, adventurous, cheerful",이 캐릭터는 매우 활기차고 귀엽습니다.,human,short,large,9,1,8,7
Solitaire,https://onepiece.fandom.com/wiki/Solitaire,https://static.wikia.nocookie.net/onepiece/images/5/52/Solitaire_Anime_Infobox.png/revision/latest?cb=20200629152716,female,green,wavy,covered,oval,confident,light,none,slim,young,4,8,3,2,9,"anime, colorful, confident, unique",매우 독특한 스타일입니다.,human,long,medium,5,2,7,9
Kokoro no Minato,https://onepiece.fandom.com/wiki/Kokoro_no_Minato,https://static.wikia.nocookie.net/onepiece/images/9/9b/Kokoro_no_Minato.png/revision/latest?cb=20170715231024,male,gray,spiky,round,square,angry,light,none,muscular,middle-aged,2,5,1,3,8,"anime,male,angry,muscular",강한 인상을 주는 캐릭터입니다.,human,short,medium,6,1,7,9
Kyubi x One Piece Pirate King,https://onepiece.fandom.com/wiki/Kyubi_x_One_Piece_Pirate_King,https://static.wikia.nocookie.net/onepiece/images/7/75/Kyubi_x_One_Piece_Film_Red.png/revision/latest?cb=20221029165459,male,brown,spiky,round,round,happy,light,none,slim,young,7,6,2,5,8,"anime, pirate, hero, young",귀엽고 에너지가 넘친다.,human,short,large,9,1,9,8
Roronoa Zoro,https://onepiece.fandom.com/wiki/Roronoa_Zoro,https://static.wikia.nocookie.net/onepiece/images/5/52/Roronoa_Zoro_Anime_Post_Timeskip_Infobox.png/revision/latest?cb=20241029161719,male,green,spiky,narrow,square,determined,light,none,muscular,young adult,2,9,3,2,10,"swordsman, determined, strong",강력한 전사 같은 느낌입니다.,human,short,medium,8,1,9,10
Roronoa Pinzoro,https://onepiece.fandom.com/wiki/Roronoa_Pinzoro,https://static.wikia.nocookie.net/onepiece/images/4/4c/Roronoa_Pinzoro_Portrait.png/revision/latest?cb=20230420195200,male,black,spiky,narrow,angular,determined,light,none,muscular,young,2,8,6,1,9,"anime,male,spiky hair,determined",강한 느낌의 캐릭터입니다.,human,short,medium,7,3,8,9
Roronoa Zoro (Non-Canon),https://onepiece.fandom.com/wiki/Roronoa_Zoro_(Non-Canon),https://static.wikia.nocookie.net/onepiece/images/6/69/Roronoa_Zoro_%28Non-Canon%29_Manga_Infobox.png/revision/latest?cb=20240409191414,male,bald,none,round,round,surprised,light,none,slim,old,2,1,0,5,1,"bald, surprised, old, funny",재미있는 모습입니다.,human,none,medium,0,0,3,2
Roronoa Arashi,https://onepiece.fandom.com/wiki/Roronoa_Arashi,https://static.wikia.nocookie.net/onepiece/images/5/57/Roronoa_Arashi_Portrait.png/revision/latest?cb=20230420195212,male,black,spiky,narrow,angular,serious,light,none,athletic,young,2,8,6,1,9,"anime,male,spiky hair,serious",강렬한 느낌의 캐릭터입니다.,human,short,medium,7,3,8,9
One Piece Swordsman Roronoa Zoro -The Fierce Warriors-,https://onepiece.fandom.com/wiki/One_Piece_Swordsman_Roronoa_Zoro_-The_Fierce_Warriors-,https://static.wikia.nocookie.net/onepiece/images/e/ec/One_Piece_Swordsman_Roronoa_Zoro_App_Icon.png/revision/latest?cb=20200704140112,male,green,spiky,sharp,angular,determined,light,none,muscular,young,2,9,5,3,10,"swordsman, fierce, warrior, anime",강력한 전사 느낌입니다.,human,short,medium,8,1,9,10
Roronoa Zoro Falls Into the Sea,https://onepiece.fandom.com/wiki/Roronoa_Zoro_Falls_Into_the_Sea,https://static.wikia.nocookie.net/onepiece/images/b/b5/Roronoa_Zoro_Falls_Into_the_Sea.png/revision/latest?cb=20190719202607,male,green,spiky,sharp,angular,determined,light,none,muscular,young adult,2,9,3,1,10,"swordsman, pirate, strong, determined",강한 전사 같은 느낌입니다.,human,short,medium,8,1,7,9
Nisezoro,https://onepiece.fandom.com/wiki/Nisezoro,https://static.wikia.nocookie.net/onepiece/images/c/ca/Nisezoro_Infobox.png/revision/latest?cb=20260419080439,male,green,short,normal,square,focused,light,stubble,muscular,adult,3,8,2,4,7,"anime,male,green hair,muscular",강한 느낌의 캐릭터입니다.,human,short,medium,6,1,5,8
Wado Ichimonji,https://onepiece.fandom.com/wiki/Wado_Ichimonji,https://static.wikia.nocookie.net/onepiece/images/5/56/Wado_Ichimonji_Infobox.png/revision/latest?cb=20230120012000,male,black,short,closed,square,serious,tan,none,muscular,young adult,2,8,5,1,9,"sword, warrior, serious",강력한 전사 같은 느낌입니다.,human,short,small,7,1,8,9
Tera,https://onepiece.fandom.com/wiki/Tera,https://static.wikia.nocookie.net/onepiece/images/b/b1/Tera_Portrait.png/revision/latest?cb=20230420195225,female,black,ponytail,unknown,unknown,unknown,unknown,none,unknown,young,5,6,2,1,4,"anime,character,ponytail",귀여운 느낌이야.,human,long,unknown,3,1,5,6
Three Sword Style,https://onepiece.fandom.com/wiki/Three_Sword_Style,https://static.wikia.nocookie.net/onepiece/images/e/e0/Three_Sword_Style_Infobox.png/revision/latest?cb=20230403220504,male,black,short,closed,angular,determined,light,none,muscular,young,2,8,6,1,9,"swordsman, warrior, determined",강한 전사 같은 느낌입니다.,human,short,small,7,2,8,9
Foxfire Style,https://onepiece.fandom.com/wiki/Foxfire_Style,https://static.wikia.nocookie.net/onepiece/images/0/0e/Foxfire_Style_Infobox.png/revision/latest?cb=20250513211642,male,black,long,sharp,angular,intense,light,none,athletic,young adult,2,8,7,1,9,"warrior, intense, fire, action",강렬한 전사 느낌입니다.,human,medium,medium,6,3,8,9
Shimotsuki Village,https://onepiece.fandom.com/wiki/Shimotsuki_Village,https://static.wikia.nocookie.net/onepiece/images/6/65/Shimotsuki_Village.png/revision/latest?cb=20180927022942,male,green,short,simple,round,thoughtful,light,none,slim,child,7,3,1,2,4,"anime, child, green hair, thoughtful",귀여운 어린이 캐릭터입니다.,human,short,small,5,1,6,5
Soro,https://onepiece.fandom.com/wiki/Soro,https://static.wikia.nocookie.net/onepiece/images/2/22/Soro_Anime_Infobox.png/revision/latest?cb=20130123225106,male,orange,fur,sharp,angular,aggressive,orange,none,muscular,adult,2,7,8,1,9,"wolf, aggressive, muscular, orange",강렬한 느낌의 캐릭터입니다.,wolf,short,large,3,6,8,7
Shimotsuki Kuina,https://onepiece.fandom.com/wiki/Shimotsuki_Kuina,https://static.wikia.nocookie.net/onepiece/images/c/c1/Shimotsuki_Kuina_Anime_Infobox.png/revision/latest?cb=20241110050028,female,blue,straight,round,oval,smiling,light,none,slim,young,8,5,1,3,4,"anime, female, blue hair, young",귀여운 캐릭터입니다.,human,short,large,6,1,7,6
Johnny,https://onepiece.fandom.com/wiki/Johnny,https://static.wikia.nocookie.net/onepiece/images/e/ee/Johnny_Manga_Post_Timeskip_Infobox.png/revision/latest?cb=20231120150337,male,black,short,round,square,happy,light,none,muscular,young,3,7,1,6,8,"muscular,happy,young,energetic",활기찬 느낌의 캐릭터입니다.,human,short,medium,7,1,9,8
Shimotsuki Furiko,https://onepiece.fandom.com/wiki/Shimotsuki_Furiko,https://static.wikia.nocookie.net/onepiece/images/1/11/Shimotsuki_Furiko_Portrait.png/revision/latest?cb=20230420195044,female,black,long,not visible,not visible,not visible,not visible,none,not visible,young,5,6,4,1,3,"anime,character,female",이 캐릭터는 신비로운 느낌을 줍니다.,human,long,not visible,4,2,5,6
Shimotsuki Koushirou,https://onepiece.fandom.com/wiki/Shimotsuki_Koushirou,https://static.wikia.nocookie.net/onepiece/images/6/61/Shimotsuki_Koushirou_Anime_Post_Timeskip_Infobox.png/revision/latest?cb=20251109160750,male,black,ponytail,round,oval,calm,light,none,average,middle-aged,2,6,1,3,5,"calm, wise, mature",차분하고 지혜로운 느낌입니다.,human,long,medium,4,1,4,7
Choronoa Choro,https://onepiece.fandom.com/wiki/Choronoa_Choro,https://static.wikia.nocookie.net/onepiece/images/9/9b/Choronoa_Choro_Manga_Infobox.png/revision/latest?cb=20240409191604,male,black,short,round,round,determined,light,none,average,young,6,4,2,5,3,"anime, character, action, cute",귀여운 캐릭터입니다.,human,short,medium,5,1,7,6
Yubashiri,https://onepiece.fandom.com/wiki/Yubashiri,https://static.wikia.nocookie.net/onepiece/images/f/ff/Yubashiri_Infobox.png/revision/latest?cb=20230312210816,male,black,spiky,round,square,angry,light,none,average,middle-aged,2,5,3,4,6,"angry, warrior, average, spiky hair",강한 전사 같은 느낌입니다.,human,short,medium,3,2,5,7
One Piece Characters Log,https://onepiece.fandom.com/wiki/One_Piece_Characters_Log,https://static.wikia.nocookie.net/onepiece/images/9/96/One_Piece_Characters_Log_Luffy.png/revision/latest?cb=20250110011026,male,black,messy,round,round,smiling,light,none,slim,young,7,6,2,8,9,"adventurous, cheerful, determined",이 캐릭터는 매우 활기차고 긍정적입니다.,human,short,large,8,1,10,9
Shimotsuki Family,https://onepiece.fandom.com/wiki/Shimotsuki_Family,https://static.wikia.nocookie.net/onepiece/images/6/61/Shimotsuki_Family_Portrait.png/revision/latest?cb=20220511154406,,,,,,,,,,,0,0,0,0,0,,,,,,0,0,0,0
Himari,https://onepiece.fandom.com/wiki/Himari,https://static.wikia.nocookie.net/onepiece/images/a/a7/Himari_Infobox.png/revision/latest?cb=20240608025816,female,blonde,tied,sharp,oval,angry,light,none,slim,young,7,3,1,2,4,"anime, girl, angry, short hair",귀여운 소녀의 화난 표정입니다.,human,short,medium,5,1,6,5
Mr. 7 (Previous),https://onepiece.fandom.com/wiki/Mr._7_(Previous),https://static.wikia.nocookie.net/onepiece/images/5/5d/Mr._7_%28Previous%29_Infobox.png/revision/latest?cb=20231002215856,male,red,spiky,sharp,angular,serious,pale,none,slim,adult,1,8,7,2,9,"spiky hair, serious, sword, villain",강렬한 악당의 느낌입니다.,human,short,medium,2,8,7,9
One Piece Strong Words,https://onepiece.fandom.com/wiki/One_Piece_Strong_Words,https://static.wikia.nocookie.net/onepiece/images/8/84/One_Piece_Strong_Words.png/revision/latest?cb=20210225203331,male,black,spiky,round,oval,determined,light,none,slim,young,7,8,2,5,9,"anime, strong, hero, determined",강한 의지를 가진 캐릭터입니다.,human,short,large,10,1,9,8
Shimotsuki Kouzaburou,https://onepiece.fandom.com/wiki/Shimotsuki_Kouzaburou,https://static.wikia.nocookie.net/onepiece/images/b/b7/Shimotsuki_Kouzaburou_Anime_Infobox.png/revision/latest?cb=20230430031032,male,white,ponytail,narrow,angular,serious,light,white,thin,old,2,6,3,1,7,"old, wise, fisherman, serious",강한 인상을 주는 캐릭터입니다.,human,long,medium,5,2,4,8
Straw Hat Space,https://onepiece.fandom.com/wiki/Straw_Hat_Space,https://static.wikia.nocookie.net/onepiece/images/c/ce/Straw_Hat_Space_Announcement_Art.png/revision/latest?cb=20240520013631,male,black,messy,round,round,happy,light,none,slim,young,7,5,1,6,4,"anime, pirate, adventure",귀여운 해적 캐릭터입니다.,human,short,medium,8,1,7,6
Tarumanma,https://onepiece.fandom.com/wiki/Tarumanma,https://static.wikia.nocookie.net/onepiece/images/1/16/Tarumanma_Infobox.png/revision/latest?cb=20240806231153,male,green,short,round,oval,neutral,light,none,muscular,young,3,7,2,1,8,"anime,male,green hair,muscular",강력한 느낌의 캐릭터입니다.,human,short,medium,6,1,7,8
Nami,https://onepiece.fandom.com/wiki/Nami,https://static.wikia.nocookie.net/onepiece/images/6/68/Nami_Anime_Post_Timeskip_Infobox.png/revision/latest?cb=20260315214841,female,orange,straight,round,oval,confident,light,none,slim,young,7,8,2,3,6,"anime,female,confident,orange hair",강한 느낌의 캐릭터입니다.,human,long,large,5,1,7,9
Koyama Nami,https://onepiece.fandom.com/wiki/Koyama_Nami,https://static.wikia.nocookie.net/onepiece/images/8/82/Koyama_Nami_Anime_Infobox.png/revision/latest?cb=20250401162911,female,blonde,messy,round,round,happy,light,none,slim,young,8,3,1,4,2,"cute, cheerful, school",귀여운 학생의 모습입니다.,human,short,large,1,0,7,6
Nami Deerest,https://onepiece.fandom.com/wiki/Nami_Deerest,https://static.wikia.nocookie.net/onepiece/images/2/28/Nami_Deerest.png/revision/latest?cb=20260310155105,female,orange,wavy,large,oval,smiling,fair,none,slim,young,8,6,2,4,5,"anime, pirate, navigator, cheerful",귀엽고 자신감 넘치는 모습입니다.,human,long,big,7,1,7,8
Orenami Fanclub,https://onepiece.fandom.com/wiki/Orenami_Fanclub,https://static.wikia.nocookie.net/onepiece/images/f/f0/Orenami_Fanclub_Infobox.png/revision/latest?cb=20130114011747,female,blue,long,not visible,not visible,neutral,light,none,slim,young,7,8,0,0,6,"anime, female, blue hair, slim",매력적인 캐릭터입니다.,human,long,not visible,0,0,5,7
Nami vs. Kalifa,https://onepiece.fandom.com/wiki/Nami_vs._Kalifa,https://static.wikia.nocookie.net/onepiece/images/0/0f/Nami_vs._Kalifa.png/revision/latest?cb=20220320210221,female,orange,long,round,oval,confident,light,none,slim,young,7,6,2,3,5,"Nami, Kalifa, anime, female, confident",두 캐릭터 모두 매력적입니다.,human,long,medium,4,1,8,9
Niseusopp,https://onepiece.fandom.com/wiki/Niseusopp,https://static.wikia.nocookie.net/onepiece/images/a/a7/Niseusopp_Infobox.png/revision/latest?cb=20200726212507,male,black,curly,round,oval,cheerful,light blue,none,slim,young,5,4,1,7,3,"anime, funny, cheerful, quirky",재미있는 캐릭터입니다.,human,short,large,2,1,6,5
Syrup Village,https://onepiece.fandom.com/wiki/Syrup_Village,https://static.wikia.nocookie.net/onepiece/images/2/2f/Syrup_Village_Infobox.png/revision/latest?cb=20230211141102,,,,,,,,,,,0,0,0,0,0,,비주얼이 평화롭고 아늑하다.,,,,0,0,0,0
Heracles,https://onepiece.fandom.com/wiki/Heracles,https://static.wikia.nocookie.net/onepiece/images/9/92/Heracles_Anime_Infobox.png/revision/latest?cb=20141010000157,male,gray,curly,round,round,neutral,light,none,large,adult,3,5,2,4,6,"hero,large,funny",유머러스한 느낌이 있다.,human,short,medium,5,1,4,6
Usopp no Hanamichi,https://onepiece.fandom.com/wiki/Usopp_no_Hanamichi,https://static.wikia.nocookie.net/onepiece/images/b/be/Usopp_no_Hanamichi.png/revision/latest?cb=20130525200332,male,black,curly,round,oval,cheerful,light,none,slim,young,7,3,1,8,4,"anime, funny, cheerful, young",귀엽고 유머러스한 캐릭터입니다.,human,short,large,5,1,6,5
Tamanegi,https://onepiece.fandom.com/wiki/Tamanegi,https://static.wikia.nocookie.net/onepiece/images/c/c3/Tamanegi_Anime_Post_Timeskip_Infobox.png/revision/latest?cb=20251026160607,male,blonde,messy,round,round,worried,light,none,slim,child,7,2,1,5,1,"anime, worried, child, blonde",귀여운 소년의 모습입니다.,human,short,large,2,0,4,3
Banchina,https://onepiece.fandom.com/wiki/Banchina,https://static.wikia.nocookie.net/onepiece/images/4/48/Banchina_Anime_Infobox.png/revision/latest?cb=20250717210954,female,dark green,straight,round,oval,smirk,light,none,slim,young adult,5,4,2,3,3,"anime, female, green hair, smirk",귀여운 미소를 지닌 캐릭터입니다.,human,medium,medium,2,1,4,5
Kaya,https://onepiece.fandom.com/wiki/Kaya,https://static.wikia.nocookie.net/onepiece/images/f/f5/Kaya_Manga_Post_Timeskip_Infobox.png/revision/latest?cb=20180617114926,female,blonde,straight,round,oval,smiling,light,none,slim,young adult,6,7,2,3,5,"business, stylish, confident",세련된 비즈니스 스타일입니다.,human,long,medium,4,1,6,7
Friends,https://onepiece.fandom.com/wiki/Friends,https://static.wikia.nocookie.net/onepiece/images/e/e9/Friends.png/revision/latest?cb=20130525200330,male,black,spiky,round,round,happy,light,none,average,young,8,5,1,9,6,"anime, cheerful, playful",귀엽고 유쾌한 캐릭터입니다.,human,short,large,7,1,8,7
Sanji,https://onepiece.fandom.com/wiki/Sanji,https://static.wikia.nocookie.net/onepiece/images/b/b6/Sanji_Anime_Post_Timeskip_Infobox.png/revision/latest?cb=20240122012744,male,blonde,messy,sharp,angular,confident,light,light stubble,slim,young adult,4,8,3,5,7,"anime, chef, stylish, confident",멋진 외모의 캐릭터입니다.,human,medium,medium,6,2,7,9
Black Leg Style,https://onepiece.fandom.com/wiki/Black_Leg_Style,https://static.wikia.nocookie.net/onepiece/images/c/ca/Black_Leg_Style_Infobox.png/revision/latest?cb=20230617093201,male,blonde,spiky,sharp,angular,determined,light,none,athletic,young,3,8,5,2,9,"fighter, agile, strong, determined",강력한 전사 같은 느낌입니다.,human,short,medium,7,2,8,9
Shokugeki no Sanji,https://onepiece.fandom.com/wiki/Shokugeki_no_Sanji,https://static.wikia.nocookie.net/onepiece/images/c/ce/Shokugeki_no_Sanji_Infobox.PNG/revision/latest?cb=20220701085507,male,blonde,spiky,sharp,oval,confident,light,none,athletic,young,5,8,2,3,7,"chef, confident, athletic, young",매우 자신감 넘치는 모습입니다.,human,medium,medium,6,1,8,9
Drip,https://onepiece.fandom.com/wiki/Drip,https://static.wikia.nocookie.net/onepiece/images/8/8a/Drip_Anime_Infobox.png/revision/latest?cb=20130129015503,male,blonde,curly,narrow,long,serious,light,none,slim,young,2,6,4,3,5,"suit, serious, tall, blonde",비주얼이 독특하다.,human,medium,small,2,3,5,7
Vinsmoke Judge,https://onepiece.fandom.com/wiki/Vinsmoke_Judge,https://static.wikia.nocookie.net/onepiece/images/6/6f/Vinsmoke_Judge_Anime_Infobox.png/revision/latest?cb=20170626124958,male,blonde,wavy,narrow,square,serious,light,goatee,muscular,middle-aged,2,8,5,1,9,"anime,male,blonde,serious,muscular",강력한 느낌의 캐릭터입니다.,human,long,medium,3,7,6,9
Vinsmoke Yonji,https://onepiece.fandom.com/wiki/Vinsmoke_Yonji,https://static.wikia.nocookie.net/onepiece/images/e/e7/Vinsmoke_Yonji_Anime_Infobox.png/revision/latest?cb=20170416175856,male,green,spiky,sharp,oval,serious,light,none,slim,young,3,7,2,4,6,"anime, character, green, serious",강렬한 느낌의 캐릭터입니다.,human,short,medium,5,1,8,7
Vinsmoke Family,https://onepiece.fandom.com/wiki/Vinsmoke_Family,https://static.wikia.nocookie.net/onepiece/images/e/eb/Vinsmoke_Family_Infobox.png/revision/latest?cb=20230215053255,male,various,varied,stylized,angular,smiling,light,none,muscular,young,3,8,2,5,9,"anime, family, colorful, stylish",화려한 외모의 가족입니다.,human,medium,large,7,1,8,9
Raid Suit,https://onepiece.fandom.com/wiki/Raid_Suit,https://static.wikia.nocookie.net/onepiece/images/c/cc/Raid_Suit_Infobox.png/revision/latest?cb=20190130124329,male,blue,spiky,sharp,angular,confident,light,none,athletic,young,3,8,2,1,7,"anime, hero, blue hair, confident",강력한 캐릭터의 느낌입니다.,human,medium,medium,6,1,8,9
Some,https://onepiece.fandom.com/wiki/Some,https://static.wikia.nocookie.net/onepiece/images/3/33/Some_Anime_Infobox.png/revision/latest?cb=20230507022524,female,pink,curly,large,oval,worried,light,none,slim,young,8,3,1,2,2,"anime,female,kimono,cute",귀여운 캐릭터입니다.,human,medium,big,3,1,5,4
Chuji,https://onepiece.fandom.com/wiki/Chuji,https://static.wikia.nocookie.net/onepiece/images/7/7b/Chuji_Anime_Infobox.png/revision/latest?cb=20230507115951,unknown,gray,none,round,round,happy,light,none,small,young,9,2,1,5,1,"cute, small, animal",귀엽고 사랑스러운 모습입니다.,mouse,none,large,1,0,4,3
One Piece Pirate Recipes,https://onepiece.fandom.com/wiki/One_Piece_Pirate_Recipes,https://static.wikia.nocookie.net/onepiece/images/9/91/One_Piece_Pirate_Recipes.png/revision/latest?cb=20240421113656,male,blonde,spiky,sharp,oval,smiling,light,light stubble,slim,young adult,5,8,2,4,7,"pirate, chef, stylish, confident",매력적인 요리사입니다.,human,medium,medium,6,1,7,9
One Piece Magazine Special Feature: The Wings -Zoro & Sanji- 018,https://onepiece.fandom.com/wiki/One_Piece_Magazine_Special_Feature:_The_Wings_-Zoro_%26_Sanji-_018,https://static.wikia.nocookie.net/onepiece/images/7/73/One_Piece_Magazine_Special_Feature_The_Wings_-Zoro_%26_Sanji-_018.png/revision/latest?cb=20240428154739,male,"blonde, green","spiky, slicked",sharp,angular,confident,light,"light stubble, none",muscular,young adult,3,8,2,4,9,"anime, pirates, swordsmen, duo",강력한 캐릭터의 조합입니다.,human,"medium, short",medium,7,1,8,9
Vinsmoke Sora,https://onepiece.fandom.com/wiki/Vinsmoke_Sora,https://static.wikia.nocookie.net/onepiece/images/4/4c/Vinsmoke_Sora_Anime_Infobox.png/revision/latest?cb=20190130220840,female,blonde,wavy,large,oval,smiling,light,none,slim,young,7,5,1,2,4,"anime,female,blonde,smiling",아름답고 자신감 넘치는 모습입니다.,human,long,big,6,1,5,6
Tony Tony Chopper,https://onepiece.fandom.com/wiki/Tony_Tony_Chopper,https://static.wikia.nocookie.net/onepiece/images/a/af/Tony_Tony_Chopper_Anime_Post_Timeskip_Infobox.png/revision/latest?cb=20240720150824,male,blue,hat,round,round,serious,light,none,small,young,8,4,1,6,5,"cute, small, serious, animal",귀여운 캐릭터입니다.,reindeer,short,large,7,1,6,5
Tony Tony Tony Chopper,https://onepiece.fandom.com/wiki/Tony_Tony_Tony_Chopper,https://static.wikia.nocookie.net/onepiece/images/3/37/Tony_Tony_Tony_Chopper.png/revision/latest?cb=20251224045511,male,light brown,short,round,round,happy,light,none,small,young,10,2,1,8,5,"cute, small, happy, animal",귀여운 캐릭터입니다.,reindeer,short,large,7,1,6,5
Am I Enough,https://onepiece.fandom.com/wiki/Am_I_Enough,https://static.wikia.nocookie.net/onepiece/images/c/c2/One_Piece_Into_the_Grand_Line_%28Soundtrack_from_the_Netflix_Series%29.png/revision/latest?cb=20260310180859,male,black,curly,round,oval,happy,light,none,muscular,young,7,6,2,5,8,"adventurous, energetic, heroic",매우 활기차고 용감한 느낌입니다.,human,short,large,9,1,9,8
Yujo wa Ban'noyaku,https://onepiece.fandom.com/wiki/Yujo_wa_Ban%27noyaku,https://static.wikia.nocookie.net/onepiece/images/d/dd/Yujo_wa_Ban%27noyaku.png/revision/latest?cb=20170715225713,male,purple,spiky,round,round,happy,light,none,small,young,8,5,1,7,4,"cute, funny, young, animal",귀엽고 유쾌한 캐릭터입니다.,animal,short,large,6,1,7,6
Chopper's,https://onepiece.fandom.com/wiki/Chopper%27s,https://static.wikia.nocookie.net/onepiece/images/f/f3/Chopper%27s.png/revision/latest?cb=20251222065435,male,brown,short,round,round,neutral,light,none,small,young,9,3,1,5,4,"cute,reindeer,anime",귀엽고 사랑스러운 느낌입니다.,reindeer,short,large,6,1,5,4
