name,source_url,image_url,gender,hair_color,hair_style,eye_style,face_shape,expression,skin_tone,beard,body_type,age_vibe,cute_level,cool_level,dark_level,funny_level,power_level,match_tags,match_note
Borsalino,https://onepiece.fandom.com/wiki/Borsalino,https://static.wikia.nocookie.net/onepiece/images/1/14/Borsalino_Anime_Infobox.png/revision/latest?cb=20190603023753,,,,,,,,,,,,,,,,,
Masira,https://onepiece.fandom.com/wiki/Masira,https://static.wikia.nocookie.net/onepiece/images/e/e0/Masira_Anime_Infobox.png/revision/latest?cb=20230904222812,,,,,,,,,,,,,,,,,
Monjii,https://onepiece.fandom.com/wiki/Monjii,https://static.wikia.nocookie.net/onepiece/images/b/b4/Monjii_Anime_Infobox.png/revision/latest?cb=20160925125525,,,,,,,,,,,,,,,,,
Doma,https://onepiece.fandom.com/wiki/Doma,https://static.wikia.nocookie.net/onepiece/images/f/fa/Doma_Anime_Infobox.png/revision/latest?cb=20221202185948,,,,,,,,,,,,,,,,,
Onepi no Mi,https://onepiece.fandom.com/wiki/Onepi_no_Mi,https://static.wikia.nocookie.net/onepiece/images/1/1a/Onepi_no_Mi_Logo.png/revision/latest?cb=20210908013128,,,,,,,,,,,,,,,,,
Mink Tribe,https://onepiece.fandom.com/wiki/Mink_Tribe,https://static.wikia.nocookie.net/onepiece/images/c/c4/Mink_Tribe_Infobox.png/revision/latest?cb=20160911170007,,,,,,,,,,,,,,,,,
One Piece Strong Words 2,https://onepiece.fandom.com/wiki/One_Piece_Strong_Words_2,https://static.wikia.nocookie.net/onepiece/images/3/35/One_Piece_Strong_Words_2.png/revision/latest?cb=20210225203214,,,,,,,,,,,,,,,,,
Solitaire,https://onepiece.fandom.com/wiki/Solitaire,https://static.wikia.nocookie.net/onepiece/images/5/52/Solitaire_Anime_Infobox.png/revision/latest?cb=20200629152716,,,,,,,,,,,,,,,,,
Kokoro no Minato,https://onepiece.fandom.com/wiki/Kokoro_no_Minato,https://static.wikia.nocookie.net/onepiece/images/9/9b/Kokoro_no_Minato.png/revision/latest?cb=20170715231024,,,,,,,,,,,,,,,,,
Kyubi x One Piece Pirate King,https://onepiece.fandom.com/wiki/Kyubi_x_One_Piece_Pirate_King,https://static.wikia.nocookie.net/onepiece/images/7/75/Kyubi_x_One_Piece_Film_Red.png/revision/latest?cb=20221029165459,,,,,,,,,,,,,,,,,
Roronoa Zoro,https://onepiece.fandom.com/wiki/Roronoa_Zoro,https://static.wikia.nocookie.net/onepiece/images/5/52/Roronoa_Zoro_Anime_Post_Timeskip_Infobox.png/revision/latest?cb=20241029161719,,,,,,,,,,,,,,,,,
Roronoa Pinzoro,https://onepiece.fandom.com/wiki/Roronoa_Pinzoro,https://static.wikia.nocookie.net/onepiece/images/4/4c/Roronoa_Pinzoro_Portrait.png/revision/latest?cb=20230420195200,,,,,,,,,,,,,,,,,
Roronoa Zoro (Non-Canon),https://onepiece.fandom.com/wiki/Roronoa_Zoro_(Non-Canon),https://static.wikia.nocookie.net/onepiece/images/6/69/Roronoa_Zoro_%28Non-Canon%29_Manga_Infobox.png/revision/latest?cb=20240409191414,,,,,,,,,,,,,,,,,
Roronoa Arashi,https://onepiece.fandom.com/wiki/Roronoa_Arashi,https://static.wikia.nocookie.net/onepiece/images/5/57/Roronoa_Arashi_Portrait.png/revision/latest?cb=20230420195212,,,,,,,,,,,,,,,,,
One Piece Swordsman Roronoa Zoro -The Fierce Warriors-,https://onepiece.fandom.com/wiki/One_Piece_Swordsman_Roronoa_Zoro_-The_Fierce_Warriors-,https://static.wikia.nocookie.net/onepiece/images/e/ec/One_Piece_Swordsman_Roronoa_Zoro_App_Icon.png/revision/latest?cb=20200704140112,,,,,,,,,,,,,,,,,
Roronoa Zoro Falls Into the Sea,https://onepiece.fandom.com/wiki/Roronoa_Zoro_Falls_Into_the_Sea,https://static.wikia.nocookie.net/onepiece/images/b/b5/Roronoa_Zoro_Falls_Into_the_Sea.png/revision/latest?cb=20190719202607,,,,,,,,,,,,,,,,,
Nisezoro,https://onepiece.fandom.com/wiki/Nisezoro,https://static.wikia.nocookie.net/onepiece/images/c/ca/Nisezoro_Infobox.png/revision/latest?cb=20260419080439,,,,,,,,,,,,,,,,,
Wado Ichimonji,https://onepiece.fandom.com/wiki/Wado_Ichimonji,https://static.wikia.nocookie.net/onepiece/images/5/56/Wado_Ichimonji_Infobox.png/revision/latest?cb=20230120012000,,,,,,,,,,,,,,,,,
Tera,https://onepiece.fandom.com/wiki/Tera,https://static.wikia.nocookie.net/onepiece/images/b/b1/Tera_Portrait.png/revision/latest?cb=20230420195225,,,,,,,,,,,,,,,,,
Three Sword Style,https://onepiece.fandom.com/wiki/Three_Sword_Style,https://static.wikia.nocookie.net/onepiece/images/e/e0/Three_Sword_Style_Infobox.png/revision/latest?cb=20230403220504,,,,,,,,,,,,,,,,,
Foxfire Style,https://onepiece.fandom.com/wiki/Foxfire_Style,https://static.wikia.nocookie.net/onepiece/images/0/0e/Foxfire_Style_Infobox.png/revision/latest?cb=20250513211642,,,,,,,,,,,,,,,,,
Shimotsuki Village,https://onepiece.fandom.com/wiki/Shimotsuki_Village,https://static.wikia.nocookie.net/onepiece/images/6/65/Shimotsuki_Village.png/revision/latest?cb=20180927022942,,,,,,,,,,,,,,,,,
Soro,https://onepiece.fandom.com/wiki/Soro,https://static.wikia.nocookie.net/onepiece/images/2/22/Soro_Anime_Infobox.png/revision/latest?cb=20130123225106,,,,,,,,,,,,,,,,,
Spirit of Zoro,https://onepiece.fandom.com/wiki/Spirit_of_Zoro,,,,,,,,,,,,,,,,,,
Shimotsuki Kuina,https://onepiece.fandom.com/wiki/Shimotsuki_Kuina,https://static.wikia.nocookie.net/onepiece/images/c/c1/Shimotsuki_Kuina_Anime_Infobox.png/revision/latest?cb=20241110050028,,,,,,,,,,,,,,,,,
Johnny,https://onepiece.fandom.com/wiki/Johnny,https://static.wikia.nocookie.net/onepiece/images/e/ee/Johnny_Manga_Post_Timeskip_Infobox.png/revision/latest?cb=20231120150337,,,,,,,,,,,,,,,,,
Shimotsuki Furiko,https://onepiece.fandom.com/wiki/Shimotsuki_Furiko,https://static.wikia.nocookie.net/onepiece/images/1/11/Shimotsuki_Furiko_Portrait.png/revision/latest?cb=20230420195044,,,,,,,,,,,,,,,,,
Shimotsuki Koushirou,https://onepiece.fandom.com/wiki/Shimotsuki_Koushirou,https://static.wikia.nocookie.net/onepiece/images/6/61/Shimotsuki_Koushirou_Anime_Post_Timeskip_Infobox.png/revision/latest?cb=20251109160750,,,,,,,,,,,,,,,,,
Choronoa Choro,https://onepiece.fandom.com/wiki/Choronoa_Choro,https://static.wikia.nocookie.net/onepiece/images/9/9b/Choronoa_Choro_Manga_Infobox.png/revision/latest?cb=20240409191604,,,,,,,,,,,,,,,,,
Yubashiri,https://onepiece.fandom.com/wiki/Yubashiri,https://static.wikia.nocookie.net/onepiece/images/f/ff/Yubashiri_Infobox.png/revision/latest?cb=20230312210816,,,,,,,,,,,,,,,,,
One Piece Characters Log,https://onepiece.fandom.com/wiki/One_Piece_Characters_Log,https://static.wikia.nocookie.net/onepiece/images/9/96/One_Piece_Characters_Log_Luffy.png/revision/latest?cb=20250110011026,,,,,,,,,,,,,,,,,
Shimotsuki Family,https://onepiece.fandom.com/wiki/Shimotsuki_Family,https://static.wikia.nocookie.net/onepiece/images/6/61/Shimotsuki_Family_Portrait.png/revision/latest?cb=20220511154406,,,,,,,,,,,,,,,,,
Himari,https://onepiece.fandom.com/wiki/Himari,https://static.wikia.nocookie.net/onepiece/images/a/a7/Himari_Infobox.png/revision/latest?cb=20240608025816,,,,,,,,,,,,,,,,,
Mr. 7 (Previous),https://onepiece.fandom.com/wiki/Mr._7_(Previous),https://static.wikia.nocookie.net/onepiece/images/5/5d/Mr._7_%28Previous%29_Infobox.png/revision/latest?cb=20231002215856,,,,,,,,,,,,,,,,,
One Piece Strong Words,https://onepiece.fandom.com/wiki/One_Piece_Strong_Words,https://static.wikia.nocookie.net/onepiece/images/8/84/One_Piece_Strong_Words.png/revision/latest?cb=20210225203331,,,,,,,,,,,,,,,,,
Shimotsuki Kouzaburou,https://onepiece.fandom.com/wiki/Shimotsuki_Kouzaburou,https://static.wikia.nocookie.net/onepiece/images/b/b7/Shimotsuki_Kouzaburou_Anime_Infobox.png/revision/latest?cb=20230430031032,,,,,,,,,,,,,,,,,
Straw Hat Space,https://onepiece.fandom.com/wiki/Straw_Hat_Space,https://static.wikia.nocookie.net/onepiece/images/c/ce/Straw_Hat_Space_Announcement_Art.png/revision/latest?cb=20240520013631,,,,,,,,,,,,,,,,,
Enma,https://onepiece.fandom.com/wiki/Enma,https://static.wikia.nocookie.net/onepiece/images/f/f8/Enma_Infobox.png/revision/latest?cb=20250927053421,,,,,,,,,,,,,,,,,
Tarumanma,https://onepiece.fandom.com/wiki/Tarumanma,https://static.wikia.nocookie.net/onepiece/images/1/16/Tarumanma_Infobox.png/revision/latest?cb=20240806231153,,,,,,,,,,,,,,,,,
Nami,https://onepiece.fandom.com/wiki/Nami,https://static.wikia.nocookie.net/onepiece/images/6/68/Nami_Anime_Post_Timeskip_Infobox.png/revision/latest?cb=20260315214841,,,,,,,,,,,,,,,,,
Koyama Nami,https://onepiece.fandom.com/wiki/Koyama_Nami,https://static.wikia.nocookie.net/onepiece/images/8/82/Koyama_Nami_Anime_Infobox.png/revision/latest?cb=20250401162911,,,,,,,,,,,,,,,,,
Nami Deerest,https://onepiece.fandom.com/wiki/Nami_Deerest,https://static.wikia.nocookie.net/onepiece/images/2/28/Nami_Deerest.png/revision/latest?cb=20260310155105,,,,,,,,,,,,,,,,,
Orenami Fanclub,https://onepiece.fandom.com/wiki/Orenami_Fanclub,https://static.wikia.nocookie.net/onepiece/images/f/f0/Orenami_Fanclub_Infobox.png/revision/latest?cb=20130114011747,,,,,,,,,,,,,,,,,
Nami vs. Kalifa,https://onepiece.fandom.com/wiki/Nami_vs._Kalifa,https://static.wikia.nocookie.net/onepiece/images/0/0f/Nami_vs._Kalifa.png/revision/latest?cb=20220320210221,,,,,,,,,,,,,,,,,
Chocolat,https://onepiece.fandom.com/wiki/Chocolat,https://static.wikia.nocookie.net/onepiece/images/1/1f/Chocolat_Anime_Infobox.png/revision/latest?cb=20130206215833,,,,,,,,,,,,,,,,,
Five-Day Disease,https://onepiece.fandom.com/wiki/Five-Day_Disease,https://static.wikia.nocookie.net/onepiece/images/f/f3/Five-Day_Disease_Infobox.png/revision/latest?cb=20230215034144,,,,,,,,,,,,,,,,,
Shiro Mokuba I,https://onepiece.fandom.com/wiki/Shiro_Mokuba_I,https://static.wikia.nocookie.net/onepiece/images/2/21/Shiro_Mokuba_I_Infobox.png/revision/latest?cb=20131214221342,,,,,,,,,,,,,,,,,
Girl (One Piece Fan Letter),https://onepiece.fandom.com/wiki/Girl_(One_Piece_Fan_Letter),https://static.wikia.nocookie.net/onepiece/images/e/eb/Girl_%28One_Piece_Fan_Letter%29_Anime_Infobox.png/revision/latest?cb=20250513015018,,,,,,,,,,,,,,,,,
Cocoyasi Village,https://onepiece.fandom.com/wiki/Cocoyasi_Village,https://static.wikia.nocookie.net/onepiece/images/d/d2/Cocoyasi_Village_Infobox.png/revision/latest?cb=20130902205453,,,,,,,,,,,,,,,,,
The Girl with the Sawfish Tattoo,https://onepiece.fandom.com/wiki/The_Girl_with_the_Sawfish_Tattoo,https://static.wikia.nocookie.net/onepiece/images/8/86/The_Girl_with_the_Sawfish_Tattoo.png/revision/latest?cb=20230901061947,,,,,,,,,,,,,,,,,
Haredas,https://onepiece.fandom.com/wiki/Haredas,https://static.wikia.nocookie.net/onepiece/images/a/ab/Haredas_Anime_Infobox.png/revision/latest?cb=20251214161201,,,,,,,,,,,,,,,,,
Usopp,https://onepiece.fandom.com/wiki/Usopp,https://static.wikia.nocookie.net/onepiece/images/3/35/Usopp_Anime_Post_Timeskip_Infobox.png/revision/latest?cb=20221127233827,,,,,,,,,,,,,,,,,
Nakatsugawa Usopp,https://onepiece.fandom.com/wiki/Nakatsugawa_Usopp,https://static.wikia.nocookie.net/onepiece/images/f/ff/Nakatsugawa_Usopp_Anime_Infobox.png/revision/latest?cb=20250402202908,,,,,,,,,,,,,,,,,
Usopp Tactics,https://onepiece.fandom.com/wiki/Usopp_Tactics,https://static.wikia.nocookie.net/onepiece/images/8/82/Usopp_Tactics_Infobox.png/revision/latest?cb=20231003023834,,,,,,,,,,,,,,,,,
Yasopp,https://onepiece.fandom.com/wiki/Yasopp,https://static.wikia.nocookie.net/onepiece/images/1/15/Yasopp_Anime_Infobox.png/revision/latest?cb=20240623091749,,,,,,,,,,,,,,,,,
Niseusopp,https://onepiece.fandom.com/wiki/Niseusopp,https://static.wikia.nocookie.net/onepiece/images/a/a7/Niseusopp_Infobox.png/revision/latest?cb=20200726212507,,,,,,,,,,,,,,,,,
Usopp*Drop,https://onepiece.fandom.com/wiki/Usopp*Drop,,,,,,,,,,,,,,,,,,
Syrup Village,https://onepiece.fandom.com/wiki/Syrup_Village,https://static.wikia.nocookie.net/onepiece/images/2/2f/Syrup_Village_Infobox.png/revision/latest?cb=20230211141102,,,,,,,,,,,,,,,,,
Heracles,https://onepiece.fandom.com/wiki/Heracles,https://static.wikia.nocookie.net/onepiece/images/9/92/Heracles_Anime_Infobox.png/revision/latest?cb=20141010000157,,,,,,,,,,,,,,,,,
Usopp no Hanamichi,https://onepiece.fandom.com/wiki/Usopp_no_Hanamichi,https://static.wikia.nocookie.net/onepiece/images/b/be/Usopp_no_Hanamichi.png/revision/latest?cb=20130525200332,,,,,,,,,,,,,,,,,
Pop Green,https://onepiece.fandom.com/wiki/Pop_Green,https://static.wikia.nocookie.net/onepiece/images/3/39/Pop_Green_Infobox.png/revision/latest?cb=20130203014331,,,,,,,,,,,,,,,,,
Tamanegi,https://onepiece.fandom.com/wiki/Tamanegi,https://static.wikia.nocookie.net/onepiece/images/c/c3/Tamanegi_Anime_Post_Timeskip_Infobox.png/revision/latest?cb=20251026160607,,,,,,,,,,,,,,,,,
Tell No Tales,https://onepiece.fandom.com/wiki/Tell_No_Tales,https://static.wikia.nocookie.net/onepiece/images/c/c1/Tell_No_Tales.png/revision/latest?cb=20230901062625,,,,,,,,,,,,,,,,,
Banchina,https://onepiece.fandom.com/wiki/Banchina,https://static.wikia.nocookie.net/onepiece/images/4/48/Banchina_Anime_Infobox.png/revision/latest?cb=20250717210954,,,,,,,,,,,,,,,,,
Kaya,https://onepiece.fandom.com/wiki/Kaya,https://static.wikia.nocookie.net/onepiece/images/f/f5/Kaya_Manga_Post_Timeskip_Infobox.png/revision/latest?cb=20180617114926,,,,,,,,,,,,,,,,,
Friends,https://onepiece.fandom.com/wiki/Friends,https://static.wikia.nocookie.net/onepiece/images/e/e9/Friends.png/revision/latest?cb=20130525200330,,,,,,,,,,,,,,,,,
Sanji,https://onepiece.fandom.com/wiki/Sanji,https://static.wikia.nocookie.net/onepiece/images/b/b6/Sanji_Anime_Post_Timeskip_Infobox.png/revision/latest?cb=20240122012744,,,,,,,,,,,,,,,,,
Black Leg Style,https://onepiece.fandom.com/wiki/Black_Leg_Style,https://static.wikia.nocookie.net/onepiece/images/c/ca/Black_Leg_Style_Infobox.png/revision/latest?cb=20230617093201,,,,,,,,,,,,,,,,,
Shokugeki no Sanji,https://onepiece.fandom.com/wiki/Shokugeki_no_Sanji,https://static.wikia.nocookie.net/onepiece/images/c/ce/Shokugeki_no_Sanji_Infobox.PNG/revision/latest?cb=20220701085507,,,,,,,,,,,,,,,,,
Drip,https://onepiece.fandom.com/wiki/Drip,https://static.wikia.nocookie.net/onepiece/images/8/8a/Drip_Anime_Infobox.png/revision/latest?cb=20130129015503,,,,,,,,,,,,,,,,,
Vinsmoke Judge,https://onepiece.fandom.com/wiki/Vinsmoke_Judge,https://static.wikia.nocookie.net/onepiece/images/6/6f/Vinsmoke_Judge_Anime_Infobox.png/revision/latest?cb=20170626124958,,,,,,,,,,,,,,,,,
Vinsmoke Yonji,https://onepiece.fandom.com/wiki/Vinsmoke_Yonji,https://static.wikia.nocookie.net/onepiece/images/e/e7/Vinsmoke_Yonji_Anime_Infobox.png/revision/latest?cb=20170416175856,,,,,,,,,,,,,,,,,
Vinsmoke Family,https://onepiece.fandom.com/wiki/Vinsmoke_Family,https://static.wikia.nocookie.net/onepiece/images/e/eb/Vinsmoke_Family_Infobox.png/revision/latest?cb=20230215053255,,,,,,,,,,,,,,,,,
Raid Suit,https://onepiece.fandom.com/wiki/Raid_Suit,https://static.wikia.nocookie.net/onepiece/images/c/cc/Raid_Suit_Infobox.png/revision/latest?cb=20190130124329,,,,,,,,,,,,,,,,,
Some,https://onepiece.fandom.com/wiki/Some,https://static.wikia.nocookie.net/onepiece/images/3/33/Some_Anime_Infobox.png/revision/latest?cb=20230507022524,,,,,,,,,,,,,,,,,
Vinsmoke Reiju,https://onepiece.fandom.com/wiki/Vinsmoke_Reiju,https://static.wikia.nocookie.net/onepiece/images/a/a3/Vinsmoke_Reiju_Anime_Infobox.png/revision/latest?cb=20231211104854,,,,,,,,,,,,,,,,,
Savarin,https://onepiece.fandom.com/wiki/Savarin,https://static.wikia.nocookie.net/onepiece/images/3/3c/Savarin_Manga_Infobox.png/revision/latest?cb=20210825163303,,,,,,,,,,,,,,,,,
Stealth Black,https://onepiece.fandom.com/wiki/Stealth_Black,https://static.wikia.nocookie.net/onepiece/images/6/6b/Stealth_Black_Anime_Infobox.png/revision/latest?cb=20200322043055,,,,,,,,,,,,,,,,,
Chuji,https://onepiece.fandom.com/wiki/Chuji,https://static.wikia.nocookie.net/onepiece/images/7/7b/Chuji_Anime_Infobox.png/revision/latest?cb=20230507115951,,,,,,,,,,,,,,,,,
One Piece Pirate Recipes,https://onepiece.fandom.com/wiki/One_Piece_Pirate_Recipes,https://static.wikia.nocookie.net/onepiece/images/9/91/One_Piece_Pirate_Recipes.png/revision/latest?cb=20240421113656,,,,,,,,,,,,,,,,,
Modified Humans,https://onepiece.fandom.com/wiki/Modified_Humans,https://static.wikia.nocookie.net/onepiece/images/f/f3/Modified_Humans_Infobox.png/revision/latest?cb=20170120215105,,,,,,,,,,,,,,,,,
One Piece Magazine Special Feature: The Wings -Zoro & Sanji- 018,https://onepiece.fandom.com/wiki/One_Piece_Magazine_Special_Feature:_The_Wings_-Zoro_%26_Sanji-_018,https://static.wikia.nocookie.net/onepiece/images/7/73/One_Piece_Magazine_Special_Feature_The_Wings_-Zoro_%26_Sanji-_018.png/revision/latest?cb=20240428154739,,,,,,,,,,,,,,,,,
Vinsmoke Ichiji,https://onepiece.fandom.com/wiki/Vinsmoke_Ichiji,https://static.wikia.nocookie.net/onepiece/images/7/7c/Vinsmoke_Ichiji_Anime_Infobox.png/revision/latest?cb=20180625103724,,,,,,,,,,,,,,,,,
Vinsmoke Sora,https://onepiece.fandom.com/wiki/Vinsmoke_Sora,https://static.wikia.nocookie.net/onepiece/images/4/4c/Vinsmoke_Sora_Anime_Infobox.png/revision/latest?cb=20190130220840,,,,,,,,,,,,,,,,,
Tajio,https://onepiece.fandom.com/wiki/Tajio,https://static.wikia.nocookie.net/onepiece/images/d/d8/Tajio_Anime_Infobox.png/revision/latest?cb=20130527203825,,,,,,,,,,,,,,,,,
Tony Tony Chopper,https://onepiece.fandom.com/wiki/Tony_Tony_Chopper,https://static.wikia.nocookie.net/onepiece/images/a/af/Tony_Tony_Chopper_Anime_Post_Timeskip_Infobox.png/revision/latest?cb=20240720150824,,,,,,,,,,,,,,,,,
Tony Tony Tony Chopper,https://onepiece.fandom.com/wiki/Tony_Tony_Tony_Chopper,https://static.wikia.nocookie.net/onepiece/images/3/37/Tony_Tony_Tony_Chopper.png/revision/latest?cb=20251224045511,,,,,,,,,,,,,,,,,
Doctor Tony Tony Chopper,https://onepiece.fandom.com/wiki/Doctor_Tony_Tony_Chopper,,,,,,,,,,,,,,,,,,
Am I Enough,https://onepiece.fandom.com/wiki/Am_I_Enough,https://static.wikia.nocookie.net/onepiece/images/c/c2/One_Piece_Into_the_Grand_Line_%28Soundtrack_from_the_Netflix_Series%29.png/revision/latest?cb=20260310180859,,,,,,,,,,,,,,,,,
Yujo wa Ban'noyaku,https://onepiece.fandom.com/wiki/Yujo_wa_Ban%27noyaku,https://static.wikia.nocookie.net/onepiece/images/d/dd/Yujo_wa_Ban%27noyaku.png/revision/latest?cb=20170715225713,,,,,,,,,,,,,,,,,
Chopper's,https://onepiece.fandom.com/wiki/Chopper%27s,https://static.wikia.nocookie.net/onepiece/images/f/f3/Chopper%27s.png/revision/latest?cb=20251222065435,,,,,,,,,,,,,,,,,
Chopper Man's Song,https://onepiece.fandom.com/wiki/Chopper_Man%27s_Song,https://static.wikia.nocookie.net/onepiece/images/c/ca/Chopper_Man%27s_Song.png/revision/latest?cb=20130525195238,,,,,,,,,,,,,,,,,
Dakishimete,https://onepiece.fandom.com/wiki/Dakishimete,,,,,,,,,,,,,,,,,,
One Piece Chopper Ready-Made Figure,https://onepiece.fandom.com/wiki/One_Piece_Chopper_Ready-Made_Figure,https://static.wikia.nocookie.net/onepiece/images/5/54/Chopper_Kumitate_Figures_Set_1.png/revision/latest?cb=20130726103801,,,,,,,,,,,,,,,,,
Chopperphage,https://onepiece.fandom.com/wiki/Chopperphage,https://static.wikia.nocookie.net/onepiece/images/0/0d/Chopperphage_Infobox.png/revision/latest?cb=20220703035441,,,,,,,,,,,,,,,,,
"One Piece: Run, Chopper, Run!","https://onepiece.fandom.com/wiki/One_Piece:_Run,_Chopper,_Run!",https://static.wikia.nocookie.net/onepiece/images/f/fb/One_Piece_Run%2C_Chopper%2C_Run%21.png/revision/latest?cb=20180315010923,,,,,,,,,,,,,,,,,
One Piece: Save Your Friends! Dr. Chopper,https://onepiece.fandom.com/wiki/One_Piece:_Save_Your_Friends!_Dr._Chopper,https://static.wikia.nocookie.net/onepiece/images/5/54/One_Piece_Save_Your_Friends%21_Dr._Chopper.png/revision/latest?cb=20250309222640,,,,,,,,,,,,,,,,,
Present,https://onepiece.fandom.com/wiki/Present,https://static.wikia.nocookie.net/onepiece/images/4/41/Present_%28song%29_Infobox.png/revision/latest?cb=20130525200331,,,,,,,,,,,,,,,,,
Chopper Man,https://onepiece.fandom.com/wiki/Chopper_Man,https://static.wikia.nocookie.net/onepiece/images/8/88/Chapter_405.png/revision/latest?cb=20130121061435,,,,,,,,,,,,,,,,,
Chopperman (Spin-Off Manga),https://onepiece.fandom.com/wiki/Chopperman_(Spin-Off_Manga),https://static.wikia.nocookie.net/onepiece/images/8/87/Chopperman_Volume_1.png/revision/latest?cb=20220223213633,,,,,,,,,,,,,,,,,
Cry heart,https://onepiece.fandom.com/wiki/Cry_heart,https://static.wikia.nocookie.net/onepiece/images/1/1c/Cry_heart_The_Cherry_Blossoms_That_Fall_on_Winter_Island_Volume_1.png/revision/latest?cb=20220112014145,,,,,,,,,,,,,,,,,
Reindeer Shames,https://onepiece.fandom.com/wiki/Reindeer_Shames,https://static.wikia.nocookie.net/onepiece/images/e/e1/Reindeer_Shames.png/revision/latest?cb=20260310155118,,,,,,,,,,,,,,,,,
Rumble Ball,https://onepiece.fandom.com/wiki/Rumble_Ball,https://static.wikia.nocookie.net/onepiece/images/5/59/Rumble_Ball_Infobox.png/revision/latest?cb=20240720151043,,,,,,,,,,,,,,,,,
Milky,https://onepiece.fandom.com/wiki/Milky,https://static.wikia.nocookie.net/onepiece/images/e/ee/Milky_Anime_Infobox.png/revision/latest?cb=20200703145037,,,,,,,,,,,,,,,,,
Monday (Non-Canon),https://onepiece.fandom.com/wiki/Monday_(Non-Canon),https://static.wikia.nocookie.net/onepiece/images/e/e8/Monday_%28Non-Canon%29_Infobox.png/revision/latest?cb=20230220015019,,,,,,,,,,,,,,,,,
Fluffy Puffy,https://onepiece.fandom.com/wiki/Fluffy_Puffy,https://static.wikia.nocookie.net/onepiece/images/c/c8/Fluffy_Puffy_Chopper_Ver_A.png/revision/latest?cb=20220701040648,,,,,,,,,,,,,,,,,
Youtooz,https://onepiece.fandom.com/wiki/Youtooz,https://static.wikia.nocookie.net/onepiece/images/c/c9/Youtooz_Luffy.png/revision/latest?cb=20231028013755,,,,,,,,,,,,,,,,,
Anime Heroes - One Piece,https://onepiece.fandom.com/wiki/Anime_Heroes_-_One_Piece,https://static.wikia.nocookie.net/onepiece/images/0/00/Anime_Heroes_Luffy.png/revision/latest?cb=20210830013955,,,,,,,,,,,,,,,,,
Rumble Ball (song),https://onepiece.fandom.com/wiki/Rumble_Ball_(song),,,,,,,,,,,,,,,,,,
Nico Olvia,https://onepiece.fandom.com/wiki/Nico_Olvia,https://static.wikia.nocookie.net/onepiece/images/f/fc/Nico_Olvia_Anime_Infobox.png/revision/latest?cb=20180131184905,,,,,,,,,,,,,,,,,
Nico Robin,https://onepiece.fandom.com/wiki/Nico_Robin,https://static.wikia.nocookie.net/onepiece/images/b/bc/Nico_Robin_Anime_Post_Timeskip_Infobox.png/revision/latest?cb=20260610121757,,,,,,,,,,,,,,,,,
Oran,https://onepiece.fandom.com/wiki/Oran,https://static.wikia.nocookie.net/onepiece/images/3/3d/Oran_Anime_Infobox.png/revision/latest?cb=20190915190752,,,,,,,,,,,,,,,,,
